strain	virus	date	country	division	location	host_type	length	lineage	authors	source
PQ282144.1	Influenza A virus	2024-07-01	Japan			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PP279063.1	Influenza A virus	2024-01-03	Japan			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PV261437.1	Influenza A virus	2025-01-26	Japan			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.	ncbi
PV261438.1	Influenza A virus	2025-01-27	Japan			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.	ncbi
PV200339.1	Influenza A virus	2025-01-11	Japan			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.	ncbi
MZ453754.1	Influenza A virus	2019-01-20	Kazakhstan			Homo sapiens	1777	6B.1A.6	Klivleyeva,N., Glebova,T., Ongarbayeva,N., Saktaganov,N., Korotetskiy,I., Shamenova,M., Lukmanova,G., Baimukhametova,A., Baiseiit,S., Ismagulova,D., Shevtsov,A., Amirgazin,A.	ncbi
MZ396824.1	Influenza A virus	2020-02-17	Kazakhstan			Sus scrofa	1776	6B.1A	Klivleyeva,N., Ongarbayeva,N., Korotetskiy,I., Glebova,T., Saktaganov,N., Lukmanova,G., Shamenova,M., Baimukhametova,A., Baiseiit,S., Ismagulova,D., Shevtsov,A., Amirgazin,A.	ncbi
MZ363972.1	Influenza A virus	2020-02-17	Kazakhstan			Sus scrofa	1777	6B.1A	Klivleyeva,N., Ongarbayeva,N., Korotetskiy,I., Glebova,T., Saktaganov,N., Lukmanova,G., Shamenova,M., Baimukhametova,A., Baiseiit,S., Ismagulova,D., Shevtsov,A., Amirgazin,A.	ncbi
PP407271.1	Influenza A virus	2022-12-15	Kazakhstan			Homo sapiens	1752	6B.1A.5a.2a	Kadyrova,I., Shevtsov,A., Babenko,D.	ncbi
PX573833.1	Influenza A virus	2024-08-21	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573787.1	Influenza A virus	2024-07-30	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573832.1	Influenza A virus	2024-07-30	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573851.1	Influenza A virus	2024-07-29	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573827.1	Influenza A virus	2024-07-25	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573849.1	Influenza A virus	2024-07-24	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573860.1	Influenza A virus	2024-07-23	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573823.1	Influenza A virus	2024-07-18	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573805.1	Influenza A virus	2024-07-09	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573777.1	Influenza A virus	2024-06-05	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573773.1	Influenza A virus	2024-04-30	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573770.1	Influenza A virus	2024-04-11	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573701.1	Influenza A virus	2024-02-12	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573700.1	Influenza A virus	2024-02-05	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573696.1	Influenza A virus	2024-01-29	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573801.1	Influenza A virus	2023-05-17	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573799.1	Influenza A virus	2023-04-26	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573798.1	Influenza A virus	2023-04-24	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573819.1	Influenza A virus	2023-04-04	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573797.1	Influenza A virus	2023-03-16	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573795.1	Influenza A virus	2023-03-08	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573765.1	Influenza A virus	2023-03-07	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573794.1	Influenza A virus	2023-03-06	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573790.1	Influenza A virus	2023-02-15	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573816.1	Influenza A virus	2023-02-15	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573815.1	Influenza A virus	2023-01-31	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573855.1	Influenza A virus	2023-01-23	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573786.1	Influenza A virus	2023-01-17	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573852.1	Influenza A virus	2023-01-09	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573813.1	Influenza A virus	2023-01-09	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573747.1	Influenza A virus	2022-12-20	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573760.1	Influenza A virus	2022-12-15	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573721.1	Influenza A virus	2022-10-18	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573741.1	Influenza A virus	2022-09-12	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573739.1	Influenza A virus	2022-09-05	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573740.1	Influenza A virus	2022-09-05	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573738.1	Influenza A virus	2022-08-23	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573719.1	Influenza A virus	2022-07-25	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573756.1	Influenza A virus	2022-07-19	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573754.1	Influenza A virus	2022-07-06	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573717.1	Influenza A virus	2022-06-28	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573716.1	Influenza A virus	2022-06-28	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573725.1	Influenza A virus	2022-06-27	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573750.1	Influenza A virus	2022-06-20	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573732.1	Influenza A virus	2022-05-17	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573705.1	Influenza A virus	2021-11-29	Kenya			Homo sapiens	1701	6B.1A.5a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573711.1	Influenza A virus	2021-11-22	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573709.1	Influenza A virus	2021-11-22	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573708.1	Influenza A virus	2021-11-22	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573706.1	Influenza A virus	2021-11-22	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573707.1	Influenza A virus	2021-11-22	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573704.1	Influenza A virus	2021-11-22	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573703.1	Influenza A virus	2021-11-17	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573702.1	Influenza A virus	2021-11-17	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573710.1	Influenza A virus	2021-11-16	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573712.1	Influenza A virus	2021-11-16	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573758.1	Influenza A virus	2021-11-16	Kenya			Homo sapiens	1701	6B.1A.5a.1	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
PX573733.1	Influenza A virus	2021-09-22	Kenya			Homo sapiens	1701	6B.1A.5a.2a	Musundi,S.D., Morobe,J.M., Moraa,E., Katama,E., Lambisia,A., Agoti,C.	ncbi
MK692761.1	Influenza A virus	2018-08-01	Kenya			Homo sapiens	1777	6B.1A	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Wadegu,M.O., Njiri,J.O., Symekher,S.L., Achila,R.A.	ncbi
OR873727.1	Influenza A virus	2018-08-01	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873799.1	Influenza A virus	2018-07-24	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873818.1	Influenza A virus	2018-07-18	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873826.1	Influenza A virus	2018-07-03	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873747.1	Influenza A virus	2018-07-03	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873739.1	Influenza A virus	2018-05-29	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873899.1	Influenza A virus	2018-05-28	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR874005.1	Influenza A virus	2018-04-14	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873723.1	Influenza A virus	2018-04-04	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873804.1	Influenza A virus	2018-04-03	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873666.1	Influenza A virus	2018-03-19	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR874000.1	Influenza A virus	2018-03-12	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
OR873658.1	Influenza A virus	2018-01-22	Kenya			Homo sapiens	1701	6B.1A	Owuor,D.C.	ncbi
MH356637.1	Influenza A virus	2018-01-15	Kenya			Homo sapiens	1752	6B.1A	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Wadegu,M.O., Njiri,J.O., Symekher,S.L., Achilla,R.A.	ncbi
MG815810.1	Influenza A virus	2017-11-06	Kenya			Homo sapiens	1752	6B.1A	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Wadegu,M.O., Njiri,J.O., Symekher,S.L., Achilla,R.A.	ncbi
MG815813.1	Influenza A virus	2017-09-12	Kenya			Homo sapiens	1525	6B.1A	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Wadegu,M.O., Njiri,J.O., Symekher,S.L., Achilla,R.A.	ncbi
MH316121.1	Influenza A virus	2017-07-12	Kenya			Homo sapiens	1752	6B.1A	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Wadegu,M.O., Njiri,J.O., Symekher,S.L., Achilla,R.A.	ncbi
KY872761.1	Influenza A virus (A/Kenya/022/2016(H1N1))	2016-10-02	Kenya			Homo sapiens	1777	6B	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Omondi,M.W., Njiri,J.	ncbi
OR873956.1	Influenza A virus	2016-08-30	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873788.1	Influenza A virus	2016-08-22	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
KY872760.1	Influenza A virus (A/Kenya/017/2016(H1N1))	2016-08-10	Kenya			Homo sapiens	1777	6B	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Omondi,M.W., Njiri,J.	ncbi
OR873787.1	Influenza A virus	2016-08-10	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873786.1	Influenza A virus	2016-07-25	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873785.1	Influenza A virus	2016-07-19	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873784.1	Influenza A virus	2016-07-11	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873721.1	Influenza A virus	2016-07-04	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873783.1	Influenza A virus	2016-04-18	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873852.1	Influenza A virus	2016-04-13	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873851.1	Influenza A virus	2016-04-08	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873848.1	Influenza A virus	2016-04-02	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873849.1	Influenza A virus	2016-03-30	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873954.1	Influenza A virus	2016-01-04	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR874030.1	Influenza A virus	2015-11-25	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR874029.1	Influenza A virus	2015-11-21	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
KX223761.1	Influenza A virus (A/Kenya/005/2015(H1N1))	2015-10-08	Kenya			Homo sapiens	1777	6B	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Omondi,M.W.	ncbi
KX223760.1	Influenza A virus (A/Kenya/004/2015(H1N1))	2015-10-06	Kenya			Homo sapiens	1777	6B	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Omondi,M.W.	ncbi
KX223758.1	Influenza A virus (A/Kenya/002/2015(H1N1))	2015-10-04	Kenya			Homo sapiens	1777	6B	Bulimo,W.D., Opanda,S.M., Majanja,J.M., Omondi,M.W.	ncbi
OR873720.1	Influenza A virus	2015-09-03	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873845.1	Influenza A virus	2015-08-18	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873952.1	Influenza A virus	2015-08-12	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR873844.1	Influenza A virus	2015-08-10	Kenya			Homo sapiens	1701	6B	Owuor,D.C.	ncbi
OR438959.1	Influenza A virus	2023-04-18	Kuwait			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi
MT081183.1	Influenza A virus	2019-04-29	Malaysia			Homo sapiens	1715	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081186.1	Influenza A virus	2019-05-09	Malaysia			Homo sapiens	1741	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081187.1	Influenza A virus	2019-06-25	Malaysia			Homo sapiens	1738	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081188.1	Influenza A virus	2019-07-10	Malaysia			Homo sapiens	1742	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081189.1	Influenza A virus	2019-07-09	Malaysia			Homo sapiens	1734	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081191.1	Influenza A virus	2019-02-19	Malaysia			Homo sapiens	1702	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081192.1	Influenza A virus	2019-07-23	Malaysia			Homo sapiens	1711	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MT081193.1	Influenza A virus	2019-02-14	Malaysia			Homo sapiens	1735	6B.1A.5a	Sam,I.-C., Chan,Y.F., Chong,Y.M., Lau,J.Z.H., Wang,L.P.L., Pang,Y.K., Ng,K.S., Ismail,A.I.	ncbi
MH006702.1	Influenza A virus	2015-01-12	Mexico			Sus scrofa	1694	1	Saavedra-Montanez,M., Vaca,L., Ramirez-Mendoza,H., Gaitan-Peredo,C., Bautista-Martinez,R., Segura-Velazquez,R., Cervantes-Torres,J., Sanchez-Betancourt,I.	ncbi
MH013195.1	Influenza A virus	2015-11-11	Mexico			Sus scrofa	1700	6B	Saavedra-Montanez,M., Vaca,L., Ramirez-Mendoza,H., Gaitan-Peredo,C., Bautista-Martinez,R., Segura-Velazquez,R., Cervantes-Torres,J., Sanchez-Betancourt,I.	ncbi
MH013203.1	Influenza A virus	2015-09-30	Mexico			Sus scrofa	1698	1	Saavedra-Montanez,M., Vaca,L., Ramirez-Mendoza,H., Gaitan-Peredo,C., Bautista-Martinez,R., Segura-Velazquez,R., Cervantes-Torres,J., Sanchez-Betancourt,I.	ncbi
MT311133.1	Influenza A virus	2016-12-11	Mexico			Spatula discors	1701	1	Mateus-Anzola,J., Gaytan-Cruz,L., Montoya-Carrillo,C., Sanchez-Betancourt,J.I., Zarza,H., Segura-Velazquez,R., Ojeda-Flores,R., Bautista-Martinez,R.	ncbi
MF593485.1	Influenza A virus (A/Mexico/4104/2016(H1N1))	2016-01-14	Mexico			Homo sapiens	1701	6B	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593493.1	Influenza A virus (A/Mexico/4431/2016(H1N1))	2016-03-01	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593501.1	Influenza A virus (A/Mexico/4433/2016(H1N1))	2016-02-28	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593509.1	Influenza A virus (A/Mexico/4435/2016(H1N1))	2016-03-02	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593517.1	Influenza A virus (A/Mexico/4436/2016(H1N1))	2016-02-28	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
MF593525.1	Influenza A virus (A/Mexico/4440/2016(H1N1))	2016-03-16	Mexico			Homo sapiens	1701	6B.1	Vazquez-Perez,J.A., Vega-Sanchez,A.E., Tellez-Navarrete,N.A., Campos,F., Guadarrama-Perez,C., Sandoval,J.L., Castillejo-Lopez,M., Hernandez,A., Perez-Padilla,R., Sanchez-Huerta,J.L., De-La Rosa-Zamboni,D.	ncbi
KY711204.1	Influenza A virus (A/Mexico/InDRE27/2016(H1N1))	2016-12-22	Mexico			Homo sapiens	1701	6B.1	Wong-Arambula,C.E., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Floriani-Verdugo,J.R., Cruz-Ortiz,N., Nunez-Garcia,T.E., Arellano-Suarez,D.S., Barrera-Badillo,G., Torres-Longoria,B., Lopez-Martinez,I., Diaz-Quinones,J.A., Ramirez-Gonzalez,J.E.	ncbi
KY711205.1	Influenza A virus (A/Mexico/InDRE35/2016(H1N1))	2016-12-28	Mexico			Homo sapiens	1701	6B.1	Wong-Arambula,C.E., Rodriguez-Maldonado,A.P., Del Mazo-Lopez,J.C., Serrano-Gutierrez,S., Floriani-Verdugo,J.R., Cruz-Ortiz,N., Nunez-Garcia,T.E., Arellano-Suarez,D.S., Barrera-Badillo,G., Torres-Longoria,B., Lopez-Martinez,I., Diaz-Quinones,J.A., Ramirez-Gonzalez,J.E.	ncbi
